epoch,loss,train_accuracy,eval_accuracy
1,0.7697305712294071,0.7500833333333333,0.7335
2,0.5522631347179413,0.8147166666666666,0.8037
3,0.5130445736519834,0.8310666666666666,0.8166
4,0.4959034824624975,0.8454666666666667,0.8313
5,0.4815524808903958,0.8475166666666667,0.8293
6,0.4700212487514983,0.8465833333333334,0.8293
7,0.45965481933127056,0.8215166666666667,0.8093
8,0.456503220568312,0.8468333333333333,0.831
9,0.4523494551790522,0.83595,0.8171
10,0.45073448736616906,0.828,0.8106
11,0.4493882470942558,0.8462833333333334,0.8315
12,0.4404660013127834,0.8544,0.8356
13,0.43582684486470324,0.7869166666666667,0.7671
14,0.4416728950561361,0.82525,0.8038
15,0.4329592817641319,0.8585,0.8414
